DateID,LabID,OthLabID,Problems,CRA,Error,DC13,Material,Species,SiteID,SiteName,SiteContext,SiteType,Longitude,Latitude,LocQual,Source,Comments
1117,LTL-621A,,,5244,55,,,,26009,"Masseria Stevanato, Carbonara di Bari",,,16.8757,41.081,A,Fiorentino et al. 2013,
1118,LTL-622A,,,5190,35,,,,26009,"Masseria Stevanato, Carbonara di Bari",,,16.8757,41.081,A,Fiorentino et al. 2013,
1119,LTL-623A,,,5115,50,,,,26009,"Masseria Stevanato, Carbonara di Bari",,,16.8757,41.081,A,Fiorentino et al. 2013,
1120,LTL-624A,,,5149,55,,,,26009,"Masseria Stevanato, Carbonara di Bari",,,16.8757,41.081,A,Fiorentino et al. 2013,
1121,LTL-770A,,,4019,45,,bone,Homo Sapiens,25922,Su Stampu' e Giuannicu Meli,,settlement,9.6075,39.5155,A,Lai 2008,
1122,LTL-778A,,,7003,55,,bone,,453,Favella,pit G/3,,16.4485,39.6742,A,Grifoni Cremonesi and Radi 2014,
1123,LTL-874A,,,8608,65,,charcoal,,13948,"Grotta d'Oriente, Favignana",,cave,12.3097,37.9495,A,Vetro and Martini 2016,
1124,LTL-875A,,,8699,60,,charcoal,,13948,"Grotta d'Oriente, Favignana",,cave,12.3097,37.9495,A,Schiappelli 2008,
1125,LTL-876A,,,8619,65,,charcoal,,13948,"Grotta d'Oriente, Favignana",,cave,12.3097,37.9495,A,Schiappelli 2008,
1126,LTL-877A,,,7040,55,,charcoal,,13948,"Grotta d'Oriente, Favignana",,cave,12.3097,37.9495,A,Schiappelli 2008,
1127,LTL-955A,,,6063,50,,vegetal material (charred),,3408,Sammardenchia,"Ditch feature 231, layer 3",settlement,13.2279,45.9838,A,Pearce 2013a,
1128,LTL-956A,,,6231,60,,vegetal material (charred),,3408,Sammardenchia,"Ditch feature 231, layer 2",settlement,13.2279,45.9838,A,Pearce 2013a,
1129,LTL-958A,,,5982,50,,,,3408,Sammardenchia,Ditch feature 173,settlement,13.2279,45.9838,A,Pearce 2013a,
1130,LTL-959A,,,6027,50,,vegetal material (charred),,3408,Sammardenchia,"Ditch feature 231, layer 1",settlement,13.2279,45.9838,A,Pearce 2013a,
1131,LTL-960A,,,5902,70,,vegetal material (charred),,3408,Sammardenchia,"Ditch feature 231, layer 4",settlement,13.2279,45.9838,A,Pearce 2013a,
1132,LTL-961A,,,5978,55,,vegetal material (charred),,3408,Sammardenchia,Pit feature 89,settlement,13.2279,45.9838,A,Pearce 2013a,
1133,LTL-962A,,,6059,50,,vegetal material (charred),,3408,Sammardenchia,Pit feature 89,settlement,13.2279,45.9838,A,Pearce 2013a,
1134,LTL-963A,,,5871,50,,,,3408,Sammardenchia,Pit feature 118,settlement,13.2279,45.9838,A,Pearce 2013a,
1135,LTL-964A,,,6000,40,,vegetal material (charred),,3408,Sammardenchia,Pit feature 89,settlement,13.2279,45.9838,A,Pearce 2013a,
1136,LTL-965A,,,5794,55,,vegetal material (charred),,3408,Sammardenchia,Pit feature 89,settlement,13.2279,45.9838,A,Pearce 2013a,
1137,LTL-966A,,,5895,45,,,,3408,Sammardenchia,Pit feature 118,settlement,13.2279,45.9838,A,Pearce 2013a,
1138,LTL-967A,,,6060,50,,,,3408,Sammardenchia,Ditch feature 173,settlement,13.2279,45.9838,A,Pearce 2013a,
1139,LTL-968A,,,4141,60,,bone,Homo Sapiens,19397,Osteria del Curato-via Cinquefrondi,burial 1,settlement,12.5876,41.837,A,Anzidei et al. 2007,
1140,LTL-972A,,,3989,55,,bone,Homo Sapiens,19397,Osteria del Curato-via Cinquefrondi,tomb 5,settlement,12.5876,41.837,A,Van Rossenberg 2012,
1141,LTL-974A,,,4660,60,,bone,Homo Sapiens,19397,Osteria del Curato-via Cinquefrondi,burial 29,settlement,12.5876,41.837,A,Anzidei et al. 2007,
1142,LTL-977A,,,4139,70,,bone,Homo Sapiens,19397,Osteria del Curato-via Cinquefrondi,tomb 19,settlement,12.5876,41.837,A,Pacciarelli et al. 2015,
1143,LTL-979A,,,3930,65,,bone,Homo Sapiens,19397,Osteria del Curato-via Cinquefrondi,tomb 25,settlement,12.5876,41.837,A,Van Rossenberg 2012,
1144,LTL-980A,,,4030,65,,bone,Homo Sapiens,19397,Osteria del Curato-via Cinquefrondi,burial 27,settlement,12.5876,41.837,A,Anzidei et al. 2007,
1145,LTL-982A,,,4170,60,,bone,Homo Sapiens,19397,Osteria del Curato-via Cinquefrondi,burial 26,settlement,12.5876,41.837,A,Anzidei et al. 2007,
1146,LTL-987A,,,3992,40,,grain (charred),Cerealia,19397,Osteria del Curato-via Cinquefrondi,fireplace (US 2362),settlement,12.5876,41.837,A,Van Rossenberg 2012,
1147,LTL-990A,,,3935,60,,seed (charred),Vicia faba,19397,Osteria del Curato-via Cinquefrondi,hearth (US 215),settlement,12.5876,41.837,A,Van Rossenberg 2012,
1148,LTL-992A,,,4192,50,,seed,Triticum dicoccum,12627,Piscina di Torre Spaccata,area 43,settlement,12.582,41.8523,A,Anzidei et al. 2007,
1149,LTL-994A,,,4130,40,,bone,Homo Sapiens,12627,Piscina di Torre Spaccata,burial 2,settlement,12.582,41.8523,A,Anzidei et al. 2007,
1150,LTL-GDC2,,,5452,45,,charcoal,,25958,Grotta dei Cervi,,cave  ,18.4848,40.0831,A,Quarta et al. 2018,
1151,LTL14417A,,,5481,45,,wood,Laburnum Alpinum,26010,Pozza Lavino,,settlement,10.6586,45.832,A,Scoz et l. 2016,
1152,LTL14418A,,,5287,45,,wood,Coniferae,26010,Pozza Lavino,,settlement,10.6586,45.832,A,Scoz et l. 2016,
1153,Lv-218,,,1660,90,,charcoal,,6675,Ordona,,settlement,15.6266,41.3144,A,Gilot 1967,
1154,Lv-222,,,2210,100,,charcoal,,6675,Ordona,,settlement,15.6266,41.3144,A,Gilot 1967,
1155,Lv-225,,,2330,120,,charcoal,,6675,Ordona,,settlement,15.6266,41.3144,A,Gilot 1967,
1156,Lv-226,,,2020,90,,charcoal,,6675,Ordona,,settlement,15.6266,41.3144,A,Gilot 1967,
1157,Lv-281,,,2700,100,,charcoal,,6675,Ordona,,settlement,15.6266,41.3144,A,Gilot 1967,
1158,Lv-282,,,2160,260,,charcoal,,6675,Ordona,Pit feature,settlement,15.6266,41.3144,A,Gilot 1970,
1159,Lv-283,,,1530,120,,charcoal,,6675,Ordona,,settlement,15.6266,41.3144,A,Gilot 1967,
1160,Lv-294,,,1820,80,,charcoal,,6675,Ordona,cryptoporticus of forum,settlement,15.6266,41.3144,A,Gilot 1970,
1161,Lv-295,,,1900,85,,charcoal,,6675,Ordona,grave,settlement,15.6266,41.3144,A,Gilot 1970,
1162,Lv-334,,,2350,75,,charcoal,,969,Alba Fucens,,settlement,13.409,42.0799,A,Gilot 1970,
